sku_prefix,lot,printed_date
GRE-AS,UO24,2025-08-01
PEA-SS,UO24,2025-08-01
PEA-SA,FF24,2025-08-01
PEA-GS,UO20,2025-08-01
PEA-RV,UO23,2025-08-01
PEA-HL,UO22,2025-08-01
TOM-AF,UO22,2025-08-01
TOM-AN,UO24,2025-08-01
TOM-BC,UO21,2025-08-01
TOM-BP,UO21,2025-08-01
TOM-CA,UO23,2025-08-01
TOM-CE,UO24,2025-08-01
TOM-AL,UO24,2025-08-01
TOM-FI,UO24,2025-08-01
TOM-GA,UO22,2025-08-01
TOM-GS,UO23,2025-08-01
TOM-GM,AV24,2025-08-01
TOM-IH,UO24,2025-08-01
TOM-JF,UO24,2025-08-01
TOM-KO,UO22,2025-08-01
TOM-LA,AV24,2025-08-01
TOM-MY,UO23,2025-08-01
TOM-PG,UO24,2025-08-01
TOM-PR,UO24,2025-08-01
TOM-PI,UO23,2025-08-01
TOM-SB,UO24,2025-08-01
TOM-SH,UO24,2025-08-01
TOM-TA,UO24,2025-08-01
TOM-VZ,UO24,2025-08-01
TGC-AM,UO24,2025-08-01
PEP-BA,UO24,2025-08-01
PEP-AS,UO24,2025-08-01
PEP-BA,WG24,2025-08-01
PEP-CC,UO24,2025-08-01
PEP-CZ,UO23,2025-08-01
PEP-DH,TR24,2025-08-01
PEP-JN,CF23,2025-08-01
PEP-LY,AV24,2025-08-01
PEP-PA,UO22,2025-08-01
PEP-PM,UO24,2025-08-01
PEP-SR,TR24,2025-08-01
PEP-SP,AV24,2025-08-01
PEP-SU,UO23,2025-08-01
PEP-TM,UO22,2025-08-01
PEP-TU,UO22,2025-08-01
PEP-YN,AV24,2025-08-01
LEE-BW,AV23,2025-08-01
ONI-IS,UO23,2025-08-01
ONI-ER,MP23,2025-08-01
ONI-RM,UO24,2025-08-01
RAD-SO,UO23,2025-08-01
RAD-GL,UO24,2025-08-01
RAD-FB,UO22,2025-08-01
MEL-GI,UO23,2025-08-01
CUC-SM,MP23,2025-08-01
BEA-TA,UO24,2025-08-01
BEA-BI,UO24,2025-08-01
BEA-BP,UO23,2025-08-01
BEA-BG,UO24,2025-08-01
BEA-CA,UO22,2025-08-01
BEA-HP,UO23,2025-08-01
BEA-DR,EO22,2025-08-01
BEA-FL,UO22,2025-08-01
BEA-FO,UO22,2025-08-01
BEA-FO,UO24,2025-08-01
BEA-GR,EO21,2025-08-01
BEA-HU,UO23,2025-08-01
BEA-IC,UO23,2025-08-01
BEA-JG,UO23,2025-08-01
BEA-KM,UO24,2025-08-01
BEA-KY,UO24,2025-08-01
BEA-LC,UO22,2025-08-01
BEA-MX,UO24,2025-08-01
BEA-PA,UO21,2025-08-01
BEA-PE,UO23,2025-08-01
BEA-SO,UO21,2025-08-01
BEA-PR,EO22,2025-08-01
BEA-RO,UO22,2025-08-01
BEA-RL,UO24,2025-08-01
BEA-SB,UO23,2025-08-01
BEA-TP,UO23,2025-08-01
BEA-TE,UO24,2025-08-01
BEA-AT,UO24,2025-08-01
BEA-TV,UO24,2025-08-01
CAR-TO,TR23,2025-08-01
CAR-DR,TR23,2025-08-01
CAR-SN,TR24,2025-08-01
CAR-YE,TR22,2025-08-01
PAR-SS,AV24,2025-08-01
SQU-BI,TR23,2025-08-01
SQU-BF,AV24,2025-08-01
SQU-FU,UO22,2025-08-01
SQU-BB,UO23,2025-08-01
SQU-SR,MP23,2025-08-01
SQU-SM,AV23,2025-08-01
