weight,date,smarties_pkg_count,lot_identifier,sku_prefix
5.66,10/1/2022,,WG20,LEE-LN
3.56,10/1/2022,,AV20,LEE-NE
5.3,10/1/2022,,UO21,ONI-AC
4.16,10/1/2022,,TR20,ONI-ER
0.89,10/1/2022,,UO21,ONI-IS
0.37,10/1/2022,,UO22,ONI-IS
1.75,10/1/2022,,WG19,ONI-NY
4.21,10/1/2022,,WG21,ONI-NY
8.76,10/1/2022,,UO20,ONI-RJ
2.41,10/1/2022,,UO19,ONI-RL
6.05,10/1/2022,,TR20,ONI-RM
6.9,10/1/2022,,UO22,ONI-SR
3.26,10/1/2022,,WG20,ONI-SS
7.58,10/1/2022,,UO17,BEA-AJ
7.95,10/1/2022,,UO21,BEA-AJ
21.88,10/1/2022,,UO20,BEA-AT
29,10/1/2022,,UO22,BEA-BG
41,10/1/2022,,UO21,BEA-BP
83,10/1/2022,,UO22,BEA-CA
13.82,10/1/2022,,UO19,BEA-CI
150,10/1/2022,,EO21,BEA-DR
168.22,10/1/2022,,UO21,BEA-EM
40,10/1/2022,,UO20,BEA-FL
55,10/1/2022,,UO22,BEA-FL
46.8,10/1/2022,,UO21,BEA-FO
55.84,10/1/2022,,UO22,BEA-FO
29.45,10/1/2022,,UO18,BEA-HR
53.33,10/1/2022,,UO20,BEA-IC
47.06,10/1/2022,,UO20,BEA-JC
41.32,10/1/2022,,UO21,BEA-JG
58.86,10/1/2022,,UO21,BEA-KY
29.03,10/1/2022,,UO20,BEA-LC
129.25,10/1/2022,,UO22,BEA-LC
5,10/1/2022,,UO20,BEA-MV
19.57,10/1/2022,,UO21,BEA-MV
27.82,10/1/2022,,UO22,BEA-MV
74.29,10/1/2022,,UO21,BEA-MX
52.23,10/1/2022,,UO21,BEA-PA
37.5,10/1/2022,,UO20,BEA-PE
20.5,10/1/2022,,EO20,BEA-PR
200,10/1/2022,,EO21,BEA-PR
45.68,10/1/2022,,UO21,BEA-PU
62.5,10/1/2022,,UO22,BEA-RL
58.2,10/1/2022,,UO21,BEA-RO
75,10/1/2022,,UO22,BEA-RO
17.17,10/1/2022,,UO21,BEA-SE
46,10/1/2022,,UO22,BEA-SE
48.55,10/1/2022,,UO21,BEA-SO
24.88,10/1/2022,,UO21,BEA-TA
40.2,10/1/2022,,UO21,BEA-TE
42.2,10/1/2022,,UO20,BEA-TV
49.72,10/1/2022,,UO20,BEA-VE
67.09,10/1/2022,,UO21,BEA-ZO
26.33,10/1/2022,,UO20,FAV-AQ
10.62,10/1/2022,,UO20,FAV-KA
98.75,10/1/2022,,UO22,FAV-KA
13,10/1/2022,,UO22,FAV-MP
38.04,10/1/2022,,UO19,GAR-BK
13,10/1/2022,,UO18,LEN-BL
4.53,10/1/2022,,MP19,BEE-CH
8,10/1/2022,,AS22,BEE-CH
14,10/1/2022,,UO19,BEE-CR
20,10/1/2022,,MP22,BEE-CR
14.47,10/1/2022,,DH21,BEE-FK
195.2,10/1/2022,,UO20,BEE-LU
149.12,10/1/2022,,UO21,BEE-SH
27.94,10/1/2022,,MP21,BEE-TG
26.77,10/1/2022,,WG21,CHA-RA
5.19,10/1/2022,,NF21,CHA-RH
4.1,10/1/2022,,UO20,BRO-NO
41,10/1/2022,,UO22,BRO-SO
10.6,10/1/2022,,MP22,BRO-UM
0.96,10/1/2022,,UO19,CAB-DO
1.37,10/1/2022,,UO19,CAB-JK
1.93,10/1/2022,,MP19,CAB-JK
1.23,10/1/2022,,MP21,CAB-M2
0.49,10/1/2022,,NF17,CAB-MA
0.71,10/1/2022,,NF19,CAB-NS
0.57,10/1/2022,,NF16,CAU-AY
8.1,10/1/2022,,UO17,CAU-PR
0.69,10/1/2022,,UO21,CAU-PR
14.75,10/1/2022,,UO20,COL-CG
3.25,10/1/2022,,AV21,KAL-DB
5.02,10/1/2022,,AV22,KAL-DB
30.74,10/1/2022,,UO18,KAL-DW
3.16,10/1/2022,,UO17,KAL-RF
67.36,10/1/2022,,UO20,KAL-RF
9,10/1/2022,,UO21,KAL-RR
3.81,10/1/2022,,TR20,CAR-DR
17.6,10/1/2022,,TR21,CAR-SN
1.75,10/1/2022,,TR20,CAR-TO
5.99,10/1/2022,,TR21,CAR-YE
5.03,10/1/2022,,TR22,CAR-YE
16.45,10/1/2022,,UO20,CUC-CE
6.17,10/1/2022,,ER20,CUC-LE
1.38,10/1/2022,,UO21,CUC-SA
3.18,10/1/2022,,AV20,CUC-SH
11.72,10/1/2022,,UO22,CUC-SH
5.25,10/1/2022,,MP22,CUC-SM
6.29,10/1/2022,,MP21,CUC-SS
26.85,10/1/2022,,UO21,CUC-VO
3.87,10/1/2022,,UO21,MEL-CL
8.88,10/1/2022,,UO18,MEL-ER
1.37,10/1/2022,,UO17,MEL-GI
3.45,10/1/2022,,UO19,MEL-PF
5.5,10/1/2022,,UO22,WAT-BM
10.16,10/1/2022,,UO21,WAT-CO
9.96,10/1/2022,,TR21,WAT-JK
1.036875,10/1/2022,,AS21,EGG-DI
0.274375,10/1/2022,,AV20,EGG-VI
1.04,10/1/2022,,AV22,EGG-VI
0.3375,10/1/2022,,UO21,PEP-AS
0.33,10/1/2022,,UO22,PEP-BA
0.14375,10/1/2022,,UO21,PEP-BP
0.185,10/1/2022,,UO19,PEP-BR
1,10/1/2022,,UO22,PEP-BR
0.7,10/1/2022,,UO22,PEP-BY
0.40875,10/1/2022,,UO21,PEP-CC
0.918125,10/1/2022,,UO21,PEP-CS
0.39,10/1/2022,,UO22,PEP-CZ
0.53625,10/1/2022,,MP21,PEP-DH
1.210625,10/1/2022,,UO21,PEP-EE
0.69,10/1/2022,,UO22,PEP-HP
1.11375,10/1/2022,,TR21,PEP-JN
0.851875,10/1/2022,,AV21,PEP-MP
0.17875,10/1/2022,,UO21,PEP-OK
0.53,10/1/2022,,UO22,PEP-OK
1.05,10/1/2022,,UO22,PEP-PA
0.72875,10/1/2022,,UO21,PEP-PM
0.693125,10/1/2022,,UO21,PEP-SG
0.14,10/1/2022,,UO22,PEP-SP
0.42,10/1/2022,,UO22,PEP-SR
0.45375,10/1/2022,,UO19,PEP-TM
0.6875,10/1/2022,,UO22,PEP-TM
0.1925,10/1/2022,,UO21,PEP-YN
0.32,10/1/2022,,UO22,PEP-YN
0.94,10/1/2022,,UO21,ACH-DD
1.45,10/1/2022,,UO21,ACH-LP
21.73,10/1/2022,,UO16,AMA-CF
0.44,10/1/2022,,UO17,AMA-EH
2.51,10/1/2022,,UO15,AMA-HB
2.95,10/1/2022,,UO21,AMA-LL
0.7,10/1/2022,,UO22,AST-HP
0.45,10/1/2022,,UO21,AST-TC
0.73,10/1/2022,,MP20,AST-TS
1.89,10/1/2022,,UO20,BAB-BB
3.27,10/1/2022,,UO22,BAB-BB
2.07,10/1/2022,,UO19,BAB-FB
5.35,10/1/2022,,UO22,BFL-AB
3.31,10/1/2022,,UO22,BUP-GG
6.28,10/1/2022,,UO21,CAL-MX
5,10/1/2022,,TR21,CAL-ZE
0.75,10/1/2022,,UO19,CEL-RP
0.45,10/1/2022,,UO20,CEL-SC
3.5,10/1/2022,,UO20,CER-PG
1.07,10/1/2022,,UO17,CLB-BB
0.29,10/1/2022,,UO19,CLB-BL
0.17,10/1/2022,,UO20,CLB-LS
0.31875,10/1/2022,,UO22,CLB-LS
0.65,10/1/2022,,UO21,COS-CH
2.05,10/1/2022,,UO21,COS-DI
3.84,10/1/2022,,WG22,COS-SP
0.78,10/1/2022,,UO18,COS-VE
0.49,10/1/2022,,TR22,COS-VE
4.37,10/1/2022,,UO21,COS-XS
0.49,10/1/2022,,UO17,DAT-SA
0.17,10/1/2022,,UO20,DIA-SO
1.68,10/1/2022,,UO22,DID-LB
3.39,10/1/2022,,UO22,ERY-BG
3,10/1/2022,,UO19,FLA-OM
1.21,10/1/2022,,UO21,FLO-BO
13.4,10/1/2022,,UO22,FLO-BO
1.01875,10/1/2022,,UO22,FLO-SA
2.6,10/1/2022,,UO20,FMN-MR
7.3,10/1/2022,,UO21,FOC-ST
2.66,10/1/2022,,UO17,FOX-AB
0.21,10/1/2022,,UO17,FOX-CC
0.05,10/1/2022,,UO20,FOX-WC
0.11875,10/1/2022,,UO22,FOX-WC
