Lot,Date,Lbs,Notes
SMA-VM-SM19,2023-02-03,0,
COS-DI-UO21,2023-10-06,0,
PEP-BA-UO22,2023-11-09,0,
BEE-CH-MP19,2023-11-15,0,
LAR-WC-TR22,2023-11-16,0,
PEA-WX-UO21,2023-11-16,0,
BRO-NO-UO20,2023-11-16,0,
CAR-DR-TR20,2023-11-17,0,Used the last of this lot for rainbow carrot mix; 2 oz stock seed saved
SUN-SO-WF19,2023-11-21,0,
HER-PJ-AV19,2023-11-22,0,
BEE-3B-UO22,2023-11-27,0,
CAR-RA-UO23,2023-11-27,0,
CAL-ZE-AV17,2023-11-28,0,
SMA-AC-SM19,2023-11-28,0,
SWP-LB-UO22,2023-11-28,0,
LAR-SB-MP20,2023-12-01,0,
EGG-VI-AV20,2023-12-04,0,"Brian okayed packing out the rest of this lot w/o saving stock since we have a bunch of a new lot, even though the newer lot has low germ"
PEA-SA-FF20,2023-12-08,0,
LET-TB-UO21,2023-12-11,0,Stock saved
HER-EC-UO22,2023-12-12,0,Brian okayed no stock seed to be saved
HER-GK-TR19,2023-12-12,0,Brian okayed no stock seed to be saved
MAR-FB-TR20,2023-12-14,0,Stock seed saved
RAD-SO-TR22,2023-12-18,0,
PEA-SS-UO21,2023-12-20,0,No stock saved
SQU-SM-AV19,2023-12-26,0,1 oz stock seed saved
CHA-RA-WG21,2023-12-26,16.13,Bad germ
CAB-MA-NF17,2023-12-26,0.23,Bad germ
CAB-NS-NF19,2023-12-26,0.17,Bad germ
CHI-MA-UO18,2023-12-26,0.69,Switched to newer lot
NIC-PS-UO18,2023-12-26,0.14,Switched to newer lot
MEL-GI-UO17,2023-12-26,0.8,Switched to newer lot
KAL-RF-UO17,2023-12-26,1.36,Switched to newer lot
TOM-MY-UO21,2023-12-26,0.03,Not enough seed to warrant germ sample
SUN-GS-UO22,2023-12-26,7.81,Bad germ
NIC-OL-UO17,2023-12-26,0.56,Switched to newer lot
PEP-BR-UO19,2023-12-26,0.12,Switched to newer lot
