id,germ_sent_date,status,year,lot,batch_id
1625,8/4/2025,pending,26,FLO-BO-UO24,1
1626,8/4/2025,pending,26,AST-HH-MP24,1
1627,8/4/2025,pending,26,WAT-BM-TR24,1
1628,8/4/2025,pending,26,WAT-BM-UO23,1
1629,8/4/2025,pending,26,PEP-BA-WG24,1
1630,8/4/2025,pending,26,TOM-PI-UO23,1
1631,8/4/2025,pending,26,BAB-FB-UO23,1
1632,8/4/2025,pending,26,BFL-AB-UO22,1
1633,8/4/2025,pending,26,PEP-YN-AV24,1
1634,8/4/2025,pending,26,TOM-MY-UO23,1
1635,8/4/2025,pending,26,TOM-LA-AV24,1
1636,8/4/2025,pending,26,TOM-JF-UO24,1
1637,8/4/2025,pending,26,TOM-KO-UO22,1
1638,8/4/2025,pending,26,TOM-IH-UO24,1
1639,8/4/2025,pending,26,TOM-GM-AV24,1
1640,8/4/2025,pending,26,TOM-GA-UO22,1
1641,8/4/2025,pending,26,TOM-GS-UO23,1
1642,8/4/2025,pending,26,TOM-FI-UO24,1
1643,8/4/2025,pending,26,TOM-AL-UO24,1
1644,8/4/2025,pending,26,TOM-CA-UO23,1
1645,8/4/2025,pending,26,TOM-CE-UO24,1
1646,8/4/2025,pending,26,ONI-IS-UO23,1
1647,8/4/2025,pending,26,TOM-BP-UO21,1
1648,8/4/2025,pending,26,TOM-BC-UO21,1
1649,8/4/2025,pending,26,TOM-AN-UO24,1
1650,8/4/2025,pending,26,ONI-RM-UO24,1
1651,8/4/2025,pending,26,TOM-AF-UO22,1
1652,8/4/2025,pending,26,RAD-GL-UO24,1
1653,8/4/2025,pending,26,ONI-ER-MP23,1
1654,8/4/2025,pending,26,PEP-BA-UO24,1
1655,8/4/2025,pending,26,LEE-BW-AV23,1
1656,8/4/2025,pending,26,RAD-SO-UO23,1
1657,8/4/2025,pending,26,RAD-FB-UO22,1
1658,8/4/2025,pending,26,TOM-PG-UO24,1
1659,8/4/2025,pending,26,TOM-PR-UO24,1
1660,8/4/2025,pending,26,TOM-SB-UO24,1
1661,8/4/2025,pending,26,TOM-SH-UO24,1
1662,8/4/2025,pending,26,TOM-TA-UO24,1
1663,8/4/2025,pending,26,PEP-TU-UO22,1
1664,8/4/2025,pending,26,PEP-SU-UO23,1
1665,8/4/2025,pending,26,PEP-SR-TR24,1
1666,8/4/2025,pending,26,TOM-VZ-UO24,1
1667,8/4/2025,pending,26,PEP-SP-AV24,1
1668,8/4/2025,pending,26,PEP-CC-UO24,1
1669,8/4/2025,pending,26,PEP-DH-TR24,1
1670,8/4/2025,pending,26,GRE-AS-UO24,1
1671,8/4/2025,pending,26,TGC-AM-UO24,1
1672,8/4/2025,pending,26,PEP-CZ-UO23,1
1673,8/4/2025,pending,26,PEP-JN-CF23,1
1674,8/4/2025,pending,26,PEP-LY-AV24,1
1675,8/4/2025,pending,26,FLO-BO-UO22,1
1676,8/4/2025,pending,26,PEP-AS-UO24,1
1677,8/4/2025,pending,26,PEP-PM-UO24,1
1678,8/4/2025,pending,26,PEP-TM-UO22,1
1679,8/4/2025,pending,26,PEP-PA-UO22,1
1680,8/4/2025,pending,26,AMA-OP-UO23,1
1681,8/4/2025,pending,26,AST-TC-UO23,1
1682,8/4/2025,pending,26,AST-TS-MP22,1
1683,8/4/2025,pending,26,AMA-CF-UO24,1
1684,8/4/2025,pending,26,SUN-SO-AV22,1
1685,8/4/2025,pending,26,SUN-TA-WG24,1
1686,8/4/2025,pending,26,AMA-HB-UO24,1
1687,8/4/2025,pending,26,LET-BI-UO23,1
1688,8/4/2025,pending,26,LET-FB-UO23,1
1689,8/4/2025,pending,26,LET-GA-AV23,1
1690,8/18/2025,pending,26,SQU-BF-AV24,2
1691,8/18/2025,pending,26,SQU-SR-MP23,2
1692,8/18/2025,pending,26,SQU-BB-UO23,2
1693,8/18/2025,pending,26,PEA-HL-UO22,2
1694,8/18/2025,pending,26,SQU-BI-TR23,2
1695,8/18/2025,pending,26,BEA-TV-UO24,2
1696,8/18/2025,pending,26,CAR-TO-TR23,2
1697,8/18/2025,pending,26,MEL-GI-UO23,2
1698,8/18/2025,pending,26,HER-PJ-AV23,2
1699,8/18/2025,pending,26,BEA-TE-UO24,2
1700,8/18/2025,pending,26,FEN-FI-AV23,2
1701,8/18/2025,pending,26,HER-GP-AV24,2
1702,8/18/2025,pending,26,HER-IL-UO23,2
1703,8/18/2025,pending,26,HER-BC-UO23,2
1704,8/18/2025,pending,26,HER-EC-UO24,2
1705,8/18/2025,pending,26,STR-MF-MP21,2
1706,8/18/2025,pending,26,STR-SR-UO23,2
1707,8/18/2025,pending,26,VRB-PM-UO24,2
1708,8/18/2025,pending,26,VRB-AS-UO24,2
1709,8/18/2025,pending,26,SNA-OW-UO24,2
1710,8/18/2025,pending,26,SNA-RB-UO22,2
1711,8/18/2025,pending,26,SAL-TH-UO24,2
1712,8/18/2025,pending,26,SPI-BE-UO23,2
1713,8/18/2025,pending,26,VET-AZ-UO22,2
1714,8/18/2025,pending,26,HER-VE-UO23,2
1715,8/18/2025,pending,26,FOC-FT-UO23,2
1716,8/18/2025,pending,26,FOC-FM-UO24,2
1717,8/18/2025,pending,26,PHA-BF-UO24,2
1718,8/18/2025,pending,26,PEA-SA-FF24,2
1719,8/18/2025,pending,26,PEA-GS-UO20,2
1720,8/18/2025,pending,26,CRP-RO-UO22,2
1721,8/18/2025,pending,26,PEA-RV-UO23,2
1722,8/18/2025,pending,26,HER-MP-UO23,2
1723,8/18/2025,pending,26,HER-MT-UO24,2
1724,8/18/2025,pending,26,HER-HY-UO24,2
1725,8/18/2025,pending,26,HER-ME-UO24,2
1726,8/18/2025,pending,26,SUN-RE-UO24,2
1727,8/18/2025,pending,26,CUC-SM-MP23,2
1728,8/18/2025,pending,26,SQU-FU-UO22,2
1729,8/18/2025,pending,26,SWP-AP-FS24,2
1730,8/18/2025,pending,26,SAL-TV-UO24,2
1731,8/18/2025,pending,26,STR-AP-UO21,2
1732,8/18/2025,pending,26,SAL-WS-UO22,2
1733,8/25/2025,pending,26,BEA-KM-UO24,3
1734,8/25/2025,pending,26,BEA-BG-UO24,3
1735,8/25/2025,pending,26,BEA-HP-UO23,3
1736,8/25/2025,pending,26,BEA-TA-UO24,3
1737,8/25/2025,pending,26,BEA-CA-UO22,3
1738,8/25/2025,pending,26,BEA-BI-UO24,3
1739,8/25/2025,pending,26,BEA-BP-UO23,3
1740,8/25/2025,pending,26,BEA-LC-UO22,3
1741,8/25/2025,pending,26,BEA-KY-UO24,3
1742,8/25/2025,pending,26,BEA-RO-UO22,3
1743,8/25/2025,pending,26,BEA-TP-UO23,3
1744,8/25/2025,pending,26,BEA-FL-UO22,3
1746,8/25/2025,pending,26,BEA-DR-EO22,3
1747,8/25/2025,pending,26,BEA-PR-EO22,3
1748,8/25/2025,pending,26,BEA-RL-UO24,3
1749,8/25/2025,pending,26,BEA-PE-UO23,3
1750,8/25/2025,pending,26,BEA-PA-UO21,3
1751,8/25/2025,pending,26,BEA-SO-UO21,3
1752,8/25/2025,pending,26,BEA-SB-UO23,3
1753,8/25/2025,pending,26,BEA-FO-UO22,3
1754,8/25/2025,pending,26,BEA-FO-UO24,3
1755,8/25/2025,pending,26,BEA-HU-UO23,3
1756,8/25/2025,pending,26,BEA-IC-UO23,3
1757,8/25/2025,pending,26,BEA-MX-UO24,3
1758,8/25/2025,pending,26,BEA-JG-UO23,3
1759,8/25/2025,pending,26,BEA-GR-EO21,3
1760,8/25/2025,pending,26,BEA-AT-UO24,3
1761,8/25/2025,pending,26,SQU-SM-AV23,3
1762,8/25/2025,pending,26,NAS-TM-UO22,3
1763,8/25/2025,pending,26,NAS-AL-UO24,3
1764,8/25/2025,pending,26,CER-PG-UO23,3
1765,8/25/2025,pending,26,LAR-EG-AV24,3
1766,8/25/2025,pending,26,SAP-WB-UO24,3
1767,8/25/2025,pending,26,RUD-SH-UO22,3
1768,8/25/2025,pending,26,NIG-EX-UO22,3
1769,8/25/2025,pending,26,NIG-DB-UO24,3
1770,8/25/2025,pending,26,RUD-PR-TR24,3
1771,8/25/2025,pending,26,RUD-PG-UO24,3
1772,8/25/2025,pending,26,NIG-BV-TR24,3
1773,8/25/2025,pending,26,NIG-BV-FL23,3
1774,8/25/2025,pending,26,NIC-OL-UO23,3
1775,8/25/2025,pending,26,NIC-BQ-UO23,3
1776,8/25/2025,pending,26,LAR-BC-UO22,3
1777,8/25/2025,pending,26,LAR-SB-UO24,3
1778,8/25/2025,pending,26,DID-LB-UO22,3
1779,8/25/2025,pending,26,FOX-AB-UO24,3
1780,8/25/2025,pending,26,FOX-WC-UO23,3
1781,8/25/2025,pending,26,PEA-SS-UO24,3
1782,8/25/2025,pending,26,CLB-LS-UO22,3
1783,8/25/2025,pending,26,CEL-SC-UO24,3
1784,8/25/2025,pending,26,CLE-VQ-UO23,3
1785,8/25/2025,pending,26,CLB-BL-UO23,3
1786,8/25/2025,pending,26,HER-EC-UO23,3
1787,8/25/2025,pending,26,CAB-FK-UO24,3
1788,8/25/2025,pending,26,CAB-NS-UO24,3
1789,8/25/2025,pending,26,CAU-PR-MF24,3
1790,8/25/2025,pending,26,BRO-SO-UO22,3
1791,8/25/2025,pending,26,GRE-PC-MP22,3
1792,8/25/2025,pending,26,BRO-SM-UO24,3
1793,8/25/2025,pending,26,BRO-NO-AV23,3
1794,8/25/2025,pending,26,CAB-M2-MP23,3
1795,8/25/2025,pending,26,LET-AY-UO23,3
1796,8/25/2025,pending,26,LET-AB-UO24,3
1797,8/25/2025,pending,26,LET-AB-UO23,3
1798,8/25/2025,pending,26,LET-MA-AV23,3
1799,8/25/2025,pending,26,LET-LB-AV23,3
1800,8/25/2025,pending,26,LET-OS-AV23,3
1801,8/25/2025,pending,26,LET-RR-UO23,3
1802,8/25/2025,pending,26,LET-SB-UO24,3
1803,8/25/2025,pending,26,LET-WD-UO23,3
1804,8/25/2025,pending,26,LET-PI-TR23,3
1805,8/25/2025,pending,26,LET-BG-UO23,3
1806,8/25/2025,pending,26,PAR-SS-AV24,3
1807,8/25/2025,pending,26,GRE-WC-UO24,3
1808,8/25/2025,pending,26,CAR-YE-TR22,3
1809,8/25/2025,pending,26,CAR-SN-TR24,3
1810,8/25/2025,pending,26,CAR-DR-TR23,3
