sku,qty
CAU-PR-pkt,5
CEL-SC-pkt,10
GRS-FE-pkt,10
GYP-CG-pkt,10
SAP-WB-pkt,10
BEA-BG-pkt,10
COR-PM-pkt,10
COR-RC-pkt,10
PEP-BA-pkt,10
PEP-TM-pkt,10
PEP-CC-pkt,10
PEP-EE-pkt,10
TOM-SH-pkt,10
TOM-RP-pkt,10
CLE-VQ-pkt,20
LAR-BC-pkt,20
LET-SU-pkt,20
LET-EM-pkt,20
DID-LB-pkt,25
SQU-ZM-pkt,30
TOM-MY-pkt,30
SWP-WN-pkt,30
ACH-DD-pkt,30
BEA-IC-pkt,35
VRB-AS-pkt,35
LET-OD-pkt,40
TOM-GA-pkt,40
TOM-RF-pkt,40
ACH-LP-pkt,40
BEA-MX-pkt,45
BEA-RL-pkt,45
WAT-CO-pkt,45
HER-VE-pkt,45
HER-BF-pkt,45
GRE-GF-pkt,50
GRE-WC-pkt,50
TOM-KO-pkt,50
TOM-MG-pkt,50
BEA-JG-pkt,55
GRE-RS-pkt,55
NIC-LD-pkt,55
HER-SC-pkt,55
LET-AY-pkt,60
TOM-JF-pkt,60
TOM-CA-pkt,60
LET-MA-pkt,65
PEA-SA-pkt,65
NIC-OL-pkt,65
GRE-MZ-pkt,70
LET-CI-pkt,70
TOM-AF-pkt,70
BFL-AB-pkt,70
CEL-RP-pkt,70
LET-WD-pkt,75
LET-AB-pkt,75
TOM-BP-pkt,75
HER-MT-pkt,75
BEA-TE-pkt,80
WAT-JK-pkt,80
LET-RG-pkt,80
LET-LB-pkt,80
SQU-SM-pkt,80
FOC-ST-pkt,80
MGL-GO-pkt,80
FOC-FT-pkt,85
RUD-AS-pkt,85
BEA-RO-pkt,90
CEL-MO-pkt,90
PEP-PA-pkt,90
PEP-SR-pkt,90
TOM-GS-pkt,90
AMA-CF-pkt,90
NIC-BQ-pkt,90
BEE-LU-pkt,95
HER-HY-pkt,95
CER-PG-pkt,95
LET-RR-pkt,100
CUC-SS-pkt,105
TGC-DM-pkt,105
PEP-MP-pkt,105
TOM-NR-pkt,105
BEA-BP-pkt,110
EGG-VI-pkt,110
PUM-WL-pkt,110
TOM-MA-pkt,110
AMA-OP-pkt,110
ERY-BG-pkt,110
BEA-CA-pkt,115
MEL-PF-pkt,115
AMA-EH-pkt,115
TOM-LA-pkt,120
PUM-HO-pkt,125
AMA-LL-pkt,125
ONI-RJ-pkt,130
COR-DB-pkt,130
CRP-RO-pkt,130
TOM-NE-pkt,135
SUN-SO-pkt,135
CAB-FK-pkt,140
CAR-YE-pkt,140
SQU-FU-pkt,140
TOM-ST-pkt,140
LAR-PB-pkt,140
LET-BG-pkt,150
LET-FT-pkt,150
VRB-PM-pkt,150
LET-HR-pkt,155
TOM-AL-pkt,155
AMA-HB-pkt,155
POP-CO-pkt,155
CUC-LE-pkt,160
LET-AD-pkt,160
RUD-SH-pkt,160
LET-SB-pkt,165
CAB-M2-pkt,170
LET-MQ-pkt,170
AST-TC-pkt,170
LAR-EG-pkt,170
NAS-TM-pkt,170
ONI-RM-pkt,175
TOM-PI-pkt,175
BAB-FB-pkt,175
TOM-BL-pkt,180
MAR-PI-pkt,180
SAL-TV-pkt,180
LEE-NE-pkt,185
BEA-GR-pkt,185
TGC-AM-pkt,185
PEA-GS-pkt,185
ZIN-ZP-pkt,185
KAL-RF-pkt,190
CAR-TO-pkt,190
LET-ME-pkt,200
SQU-YC-pkt,200
TOM-BC-pkt,200
MAR-FB-pkt,200
POP-MP-pkt,200
STR-SR-pkt,200
ZIN-ZL-pkt,200
GRE-PC-pkt,205
STR-MF-pkt,205
LET-TB-pkt,210
LET-FB-pkt,210
ZIN-QR-pkt,210
BEA-DR-pkt,215
HER-AH-pkt,215
SUN-TA-pkt,215
WAT-BM-pkt,220
ZIN-SR-pkt,220
ONI-ER-pkt,225
ONI-AC-pkt,225
CUC-SA-pkt,225
GRE-TA-pkt,225
SQU-OD-pkt,230
BRO-NO-pkt,235
FEN-FI-pkt,235
AST-HP-pkt,235
