sku_prefix,sku_suffix,quantity,year,wholesale
LEE-BW,pkt,149,22,False
LEE-BW,pkt,0,22,True
LEE-BW,1/8oz,0,22,False
LEE-BW,1/2oz,0,22,False
LEE-BW,1oz,0,22,False
LEE-LN,pkt,116,22,False
LEE-LN,pkt,125,22,True
LEE-LN,1/8oz,17,22,False
LEE-LN,1/2oz,7,22,False
LEE-LN,1oz,2,22,False
LEE-LN,1/4lb,1,22,False
LEE-NE,pkt,240,22,False
LEE-NE,pkt,180,22,True
LEE-NE,1/8oz,41,22,False
LEE-NE,1/2oz,4,22,False
LEE-NE,1oz,0,22,False
ONI-AC,pkt,187,22,False
ONI-AC,pkt,370,22,True
ONI-AC,1/8oz,41,22,False
ONI-AC,1/2oz,25,22,False
ONI-ER,pkt,400,22,False
ONI-ER,pkt,170,22,True
ONI-ER,1/8oz,71,22,False
ONI-ER,1/2oz,19,22,False
ONI-ER,1oz,8,22,False
ONI-IS,pkt,507,22,False
ONI-IS,pkt,560,22,True
ONI-IS,1/4oz,36,22,False
ONI-NY,pkt,221,22,False
ONI-NY,pkt,0,22,True
ONI-NY,1/8oz,40,22,False
ONI-NY,1/2oz,10,22,False
ONI-NY,1oz,4,22,False
ONI-RJ,pkt,183,22,False
ONI-RJ,pkt,0,22,True
ONI-RJ,1/8oz,33,22,False
ONI-RJ,1/2oz,9,22,False
ONI-RJ,1oz,0,22,False
ONI-RL,pkt,157,22,False
ONI-RL,pkt,95,22,True
ONI-RL,1/8oz,45,22,False
ONI-RL,1/2oz,12,22,False
ONI-RL,1oz,2,22,False
ONI-RM,pkt,206,22,False
ONI-RM,pkt,165,22,True
ONI-RM,1/8oz,60,22,False
ONI-RM,1/2oz,18,22,False
ONI-RM,1oz,11,22,False
ONI-SR,pkt,179,22,False
ONI-SR,pkt,0,22,True
ONI-SR,1/8oz,38,22,False
ONI-SR,1/2oz,16,22,False
ONI-SR,1oz,0,22,False
ONI-SS,pkt,137,22,False
ONI-SS,pkt,0,22,True
ONI-SS,1/8oz,45,22,False
ONI-SS,1/2oz,10,22,False
BEA-AJ,pkt,98,22,False
BEA-AJ,pkt,0,22,True
BEA-AJ,1/2lb,0,22,False
BEA-AT,pkt,182,22,False
BEA-AT,pkt,0,22,True
BEA-AT,1/2lb,2,22,False
BEA-BG,pkt,151,22,False
BEA-BG,pkt,10,22,True
BEA-BG,1/2lb,8,22,False
