SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
BEA-CA,"BEAN, BUSH DRY",BUSH DRY BEAN,Calypso,These beauties set abundant fruit even in ,cool seasons. Steaming chili awaits you!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85-90 Days,Phaseolus vulgaris,
BEA-HP,"BEAN, BUSH DRY",BUSH DRY BEAN,Cocaigne (Haricot di Paimpol),Melt in your mouth goodness. Beany ganache! ,Traditionally eaten as a shelly bean. Prolific!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,90 Days,Phaseolus vulgaris,
BEA-HR,"BEAN, BUSH DRY",BUSH DRY BEAN,Hungarian Rice Bean,Creamy and delectable petite white bean. ,Heavy producer on compact plants.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,95 Days,Phaseolus vulgaris,
BEA-HU,"BEAN, BUSH DRY",BUSH DRY BEAN,Hutterite,"*Ark of Taste Heirloom* Quick cooking, melt ","in your mouth, comfort food white bean.",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85-95 Days,Phaseolus vulgaris,
BEA-IC,"BEAN, BUSH DRY",BUSH DRY BEAN,Ireland Creek Annie,"Solid producer of rich, creamy beans ","perfect for soups, spreads, and sauces.",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,80-85 Days,Phaseolus vulgaris,
BEA-JC,"BEAN, BUSH DRY",BUSH DRY BEAN,Jacob's Cattle,*Ark of Taste Heirloom* Legendary NE variety ,known to make a fierce bowl of chili!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,80 Days,Phaseolus vulgaris,
BEA-JG,"BEAN, BUSH DRY",BUSH DRY BEAN,Jacob's Gold,"Speckled gold & white beans, pinto size ","w/rich flavor. Early, large, and prolific.",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,80-90 Days,Phaseolus vulgaris,
BEA-KY,"BEAN, BUSH DRY",BUSH DRY BEAN,Kenearly Yellow Eye,Creamy and plump white Maine heirloom for ,authentic baked beans. Wicked good eating!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germ: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,90 Days,Phaseolus vulgaris,
BEA-LC,"BEAN, BUSH DRY",BUSH DRY BEAN,Lina Sisco's Bird Egg,*Ark of Taste Heirloom* Delectably smooth ,texture & rich flavor. Tasty as shelly beans!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85-90 Days,Phaseolus vulgaris,
BEA-MX,"BEAN, BUSH DRY",BUSH DRY BEAN,Marfax,"Golden brown beans are a classic baked, ","in soup, or w/olive oil and rosemary.",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85 Days,Phaseolus vulgaris,
BEA-PU,"BEAN, BUSH DRY",BUSH DRY BEAN,Purgatorio,*Ark of Taste Heirloom* Trad. white bean ,of Tuscany. Dates back to the Etruscans.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85-90 Days,Phaseolus vulgaris,
BEA-RO,"BEAN, BUSH DRY",BUSH DRY BEAN,Rockwell,*Ark of Taste Heirloom* 100+yr old Whidbey  ,"Is. heirloom. Reliable, productive & tasty!",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,80 Days,Phaseolus vulgaris,
BEA-RL,"BEAN, BUSH DRY",BUSH DRY BEAN,Rosso di Lucca,*Ark of Taste Heirloom* Beautiful speckled ,rose/salmon bean of Tuscany. Early & reliable.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,90 Days,Phaseolus vulgaris,
BEA-TE,"BEAN, BUSH DRY",BUSH DRY BEAN,Tiger's Eye,Lovely shelly/dry bean for those who value ,the aesthetic beauty and taste of dry beans!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,80-90 Days,Phaseolus vulgaris,
BEA-VE,"BEAN, BUSH DRY",BUSH DRY BEAN,Verdon,Slow Food presidium soup bean from Quarto ,"d’Altino near Venice, Italy. Early/productive.",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85 days,Phaseolus vulgaris,
BEA-ZO,"BEAN, BUSH DRY",BUSH DRY BEAN,Zolfino,*Ark of Taste Heirloom* Deliciously tender ,and creamy traditional bean of Tuscany.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,90 Days,Phaseolus vulgaris,
BEA-FL,"BEAN, BUSH DRY/SHELLY",BUSH DRY/SHELLY BEAN,Flageolet Vert,A celebration unto themselves! Intensely ,creamy and productive. Dry/shelly.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,80 Days,Phaseolus vulgaris,
BEA-BP,"BEAN, BUSH SNAP",BUSH SNAP BEAN,Blooming Prairie,"Glossy purple, slender, straight, & crisp ",beans w/a refreshing full flavor!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: plant every 3 wks for continued harvest,55-60 Days,Phaseolus vulgaris,
BEA-DR,"BEAN, BUSH SNAP",BUSH SNAP BEAN,Dragon Langerie,"Super juicy, flat pod wax beans have it all… ","flavor, beauty, and abundance!",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: plant every 3 wks for continued harvest,55-60 Days,Phaseolus vulgaris,
