sku_prefix,sku_suffix,lineitem_name
BEA-CA,pkt,"Bean, Bush Dry, 'Calypso ' - Pkt"
BEA-CA,1/2lb,"Bean, Bush Dry, 'Calypso ' - 1/2 lb"
BEA-CA,1lb,"Bean, Bush Dry, 'Calypso ' - 1 lb"
BEA-HP,pkt,"Bean, Bush Dry, 'Cocaigne' - Pkt"
BEA-HP,1/2lb,"Bean, Bush Dry, 'Cocaigne' - 1/2 lb"
BEA-HP,1lb,"Bean, Bush Dry, 'Cocaigne' - 1 lb"
BEA-HR,pkt,"Bean, Bush Dry, 'Hungarian Rice Bean' - Pkt"
BEA-HR,1/2lb,"Bean, Bush Dry, 'Hungarian Rice Bean' - 1/2 lb"
BEA-HR,1lb,"Bean, Bush Dry, 'Hungarian Rice Bean' - 1 lb"
BEA-HU,pkt,"Bean, Bush Dry, 'Hutterite' - Pkt"
BEA-HU,1/2lb,"Bean, Bush Dry, 'Hutterite' - 1/2 lb"
BEA-HU,1lb,"Bean, Bush Dry, 'Hutterite' - 1 lb"
BEA-IC,pkt,"Bean, Bush Dry, 'Ireland Creek Annie' - Pkt"
BEA-IC,1/2lb,"Bean, Bush Dry, 'Ireland Creek Annie' - 1/2 lb"
BEA-IC,1lb,"Bean, Bush Dry, 'Ireland Creek Annie' - 1 lb"
BEA-JC,pkt,"Bean, Bush Dry, 'Jacob's Cattle' - Pkt"
BEA-JC,1/2lb,"Bean, Bush Dry, 'Jacob's Cattle' - 1/2 lb"
BEA-JC,1lb,"Bean, Bush Dry, 'Jacob's Cattle' - 1 lb"
BEA-JG,pkt,"Bean, Bush Dry, 'Jacob's Gold' - Pkt"
BEA-JG,1/2lb,"Bean, Bush Dry, 'Jacob's Gold' - 1/2 lb"
BEA-JG,1lb,"Bean, Bush Dry, 'Jacob's Gold' - 1 lb"
BEA-KY,pkt,"Bean, Bush Dry, 'Kenearly Yellow Eye' - Pkt"
BEA-KY,1/2lb,"Bean, Bush Dry, 'Kenearly Yellow Eye' - 1/2 lb"
BEA-KY,1lb,"Bean, Bush Dry, 'Kenearly Yellow Eye' - 1 lb"
BEA-LC,pkt,"Bean, Bush Dry, 'Lina Sisco's Bird Egg' - Pkt"
BEA-LC,1/2lb,"Bean, Bush Dry, 'Lina Sisco's Bird Egg' - 1/2 lb"
BEA-LC,1lb,"Bean, Bush Dry, 'Lina Sisco's Bird Egg' - 1 lb"
BEA-MX,pkt,"Bean, Bush Dry, 'Marfax' - Pkt"
BEA-MX,1/2lb,"Bean, Bush Dry, 'Marfax' - 1/2 lb"
BEA-MX,1lb,"Bean, Bush Dry, 'Marfax' - 1 lb"
BEA-PU,pkt,"Bean, Bush Dry, 'Purgatorio' - Pkt"
BEA-PU,1/2lb,"Bean, Bush Dry, 'Purgatorio' - 1/2 lb"
BEA-RO,pkt,"Bean, Bush Dry, 'Rockwell' - Pkt"
BEA-RO,1/2lb,"Bean, Bush Dry, 'Rockwell' - 1/2 lb"
BEA-RO,1lb,"Bean, Bush Dry, 'Rockwell' - 1 lb"
BEA-RO,2.5lb,
BEA-RO,5lb,"Bean, Bush Dry, 'Rockwell' - 5 lb"
