SKU,QTY
SWP-LB-pkt,1121
BEA-FO-pkt,869
COS-CH-pkt,830
SWP-HS-pkt,602
CAL-MX-pkt,557
POP-PM-pkt,533
TOM-PR-pkt,522
SWP-TL-pkt,515
CAR-RA-pkt,482
SWP-AP-pkt,474
HER-PJ-pkt,465
HER-IL-pkt,445
CUC-SH-pkt,435
CAR-SN-pkt,435
ZUC-CR-pkt,423
SWP-NI-pkt,396
LAR-WC-pkt,395
LAR-EG-pkt,386
SWP-MW-pkt,379
BFL-AB-pkt,370
TOM-AN-pkt,367
SWP-SZ-pkt,364
BEA-KM-pkt,363
HER-SC-pkt,362
COS-XS-pkt,354
PEP-YN-pkt,352
MON-LB-pkt,348
SWP-WF-pkt,343
SMA-RS-pkt,325
HER-GK-pkt,324
AST-HP-pkt,324
TOM-AL-pkt,322
ONI-IS-pkt,321
SWP-KF-pkt,321
CUC-VO-pkt,312
ZUC-DS-pkt,305
POP-AG-pkt,305
PEA-CA-pkt,301
BEA-EM-pkt,291
SWP-JJ-pkt,290
SMA-MD-pkt,288
HER-GC-pkt,285
SUN-GS-pkt,283
MAR-FB-pkt,279
STB-AW-pkt,277
TOM-PG-pkt,276
HER-MP-pkt,276
SWP-WR-pkt,276
TOM-MS-pkt,274
CUC-CE-pkt,274
COS-DI-pkt,273
HER-GP-pkt,271
SWP-WN-pkt,268
HER-EC-pkt,268
FAV-KA-pkt,267
PEA-SS-pkt,266
SMA-JO-pkt,265
SCA-GY-pkt,262
SMA-LA-pkt,262
BRO-SO-pkt,259
HER-BC-pkt,256
PEP-JN-pkt,255
AST-TC-pkt,249
ZIN-ZP-pkt,247
TOM-KK-pkt,247
COS-CW-pkt,243
STR-AP-pkt,242
TOM-FI-pkt,241
BEA-SE-pkt,241
GRE-AS-pkt,241
FEN-FI-pkt,240
TOM-IH-pkt,239
RAD-GL-pkt,238
SWP-EM-pkt,238
BEA-MV-pkt,237
RAD-FB-pkt,237
SNA-OW-pkt,235
COL-CG-pkt,231
